codigo_ine,municipio,provincia,comunidad_autonoma,municipio_nombre_humano,linea_costa_provincia,linea_montana_provincia,poblacion,superficie,densidad_poblacion
31015,Andosilla,Navarra,Comunidad Foral de Navarra,Andosilla,2,2,2752,51.51,53.43
07005,Andratx,Illes Balears,Islas Baleares,Andratx,1,2,11571,81.46,142.05
23005,Andújar,Jaén,Andalucía,Andújar,2,2,36212,964.97,37.53
50028,Anento,Zaragoza,Aragón,Anento,2,1,91,21.52,4.23
17008,Anglès,Girona,Cataluña,Anglès,1,1,5709,16.33,349.53
25027,Anglesola,Lleida,Cataluña,Anglesola,2,1,1356,23.68,57.26
19031,Angón,Guadalajara,Castilla-La Mancha,Angón,0,1,8,20.41,0.39
26013,Anguciana,La Rioja,La Rioja,Anguciana,2,2,423,5.05,83.75
22027,Angüés,Huesca,Aragón,Angüés,2,1,370,56.51,6.55
26014,Anguiano,La Rioja,La Rioja,Anguiano,2,2,511,90.91,5.62
19032,Anguita,Guadalajara,Castilla-La Mancha,Anguita,0,1,152,127.22,1.19
09017,Anguix,Burgos,Castilla y León,Anguix,2,2,158,13.44,11.75
39003,Anievas,Cantabria,Cantabria,Anievas,1,1,266,21.66,12.28
50029,Aniñón,Zaragoza,Aragón,Aniñón,2,1,671,52.46,12.79
46039,Anna,Valencia,Comunidad Valenciana,Anna,1,0,2627,21.45,122.48
20010,Anoeta,Gipuzkoa,País Vasco,Anoeta,1,2,2086,4.13,504.96
