codigo_ine,municipio,provincia,municipio_nombre_humano,num_centros_salud,num_centros_urgencias,num_hospitales,num_colegios,num_universidades
25075,Clariana de Cardener,Lleida,Clariana de Cardener,0,0,0,0,0
26051,Clavijo,La Rioja,Clavijo,0,0,0,0,0
33018,Coaña,Asturias,Coaña,1,0,1,2,0
4034,Cóbdar,Almería,Cóbdar,1,0,0,0,0
45051,Cobeja,Toledo,Cobeja,1,0,0,2,0
28041,Cobeña,Madrid,Cobeña,1,0,0,4,0
19090,Cobeta,Guadalajara,Cobeta,1,0,0,1,0
45052,Cobisa,Toledo,Cobisa,1,0,0,4,0
34060,Cobos de Cerrato,Palencia,Cobos de Cerrato,1,0,0,0,0
40056,Cobos de Fuentidueña,Segovia,Cobos de Fuentidueña,1,0,0,0,0
49050,Cobreros,Zamora,Cobreros,10,0,0,0,0
40057,Coca,Segovia,Coca,3,0,0,5,0
37108,Coca de Alba,Salamanca,Coca de Alba,1,0,0,0,0
3056,Cocentaina,Alicante,Cocentaina,1,1,0,8,0
50085,Codo,Zaragoza,Codo,1,0,0,0,0
44080,Codoñera (La),Teruel,La Codoñera,1,0,0,1,0
40058,Codorniz,Segovia,Codorniz,2,0,0,0,0
50086,Codos,Zaragoza,Codos,1,0,0,0,0
6037,Codosera (La),Badajoz,La Codosera,1,0,0,1,0
46097,Cofrentes,Valencia,Cofrentes,1,1,0,2,0
47053,Cogeces de Íscar,Valladolid,Cogeces de Íscar,1,0,0,1,0
47054,Cogeces del Monte,Valladolid,Cogeces del Monte,1,0,0,1,0
19091,Cogollor,Guadalajara,Cogollor,1,0,0,0,0
9108,Cogollos,Burgos,Cogollos,1,0,0,0,0
18049,Cogollos de Guadix,Granada,Cogollos de Guadix,1,0,0,1,0
18050,Cogollos de la Vega,Granada,Cogollos de la Vega,1,0,0,2,0
19092,Cogolludo,Guadalajara,Cogolludo,5,1,0,1,0
25076,Cogul (El),Lleida,El Cogul,1,0,0,1,0
29042,Coín,Málaga,Coín,1,1,0,20,0
15027,Coirós,A Coruña,Coirós,1,0,0,2,0
17054,Colera,Girona,Colera,1,0,0,1,0
32026,Coles,Ourense,Coles,1,1,0,1,0
5061,Colilla (La),Ávila,La Colilla,1,0,0,0,0
39023,Colindres,Cantabria,Colindres,1,1,0,4,0
25077,Coll de Nargó,Lleida,Coll de Nargó,1,0,0,1,0
5062,Collado de Contreras,Ávila,Collado de Contreras,1,0,0,0,0
10065,Collado de la Vera,Cáceres,Collado de la Vera,2,0,0,0,0
5063,Collado del Mirón,Ávila,Collado del Mirón,1,0,0,0,0
40059,Collado Hermoso,Segovia,Collado Hermoso,1,0,0,0,0
28046,Collado Mediano,Madrid,Collado Mediano,1,0,0,5,0
28047,Collado Villalba,Madrid,Collado Villalba,3,0,1,39,1
34061,Collazos de Boedo,Palencia,Collazos de Boedo,2,0,0,0,0
8069,Collbató,Barcelona,Collbató,1,0,0,4,0
43045,Colldejou,Tarragona,Colldejou,1,0,0,0,0
8070,Collsuspina,Barcelona,Collsuspina,1,0,0,1,0
29043,Colmenar,Málaga,Colmenar,1,1,0,4,0
37109,Colmenar de Montemayor,Salamanca,Colmenar de Montemayor,1,0,0,0,0
28043,Colmenar de Oreja,Madrid,Colmenar de Oreja,1,1,0,5,0
28042,Colmenar del Arroyo,Madrid,Colmenar del Arroyo,1,0,0,2,0
28045,Colmenar Viejo,Madrid,Colmenar Viejo,2,0,0,34,0
28044,Colmenarejo,Madrid,Colmenarejo,1,0,0,7,1
18051,Colomera,Granada,Colomera,2,0,0,3,0
17055,Colomers,Girona,Colomers,1,0,0,0,0
33019,Colunga,Asturias,Colunga,2,1,0,4,0
22090,Colungo,Huesca,Colungo,1,0,0,0,0
25163,Coma i la Pedra (La),Lleida,La Coma i la Pedra,0,0,0,0,0
29044,Comares,Málaga,Comares,1,0,0,1,0
39024,Comillas,Cantabria,Comillas,1,0,0,1,1
29045,Cómpeta,Málaga,Cómpeta,1,1,0,4,0
25161,Conca de Dalt,Lleida,Conca de Dalt,0,0,0,0,0
40060,Condado de Castilnovo,Segovia,Condado de Castilnovo,4,0,0,0,0
9109,Condado de Treviño,Burgos,Condado de Treviño,4,1,0,0,0
19095,Condemios de Abajo,Guadalajara,Condemios de Abajo,1,0,0,0,0
19096,Condemios de Arriba,Guadalajara,Condemios de Arriba,2,0,0,0,0
43046,Conesa,Tarragona,Conesa,1,0,0,0,0
3057,Confrides,Alicante,Confrides,2,0,0,1,0
