codigo_ine,municipio,provincia,municipio_nombre_humano,num_colegios,num_universidades
46014,Albuixech,Valencia,Albuixech,4,0
18005,Albuñán,Granada,Albuñán,0,0
18006,Albuñol,Granada,Albuñol,5,0
18007,Albuñuelas,Granada,Albuñuelas,3,0
6006,Alburquerque,Badajoz,Alburquerque,19,0
45004,Alcabón,Toledo,Alcabón,1,0
2006,Alcadozo,Albacete,Alcadozo,0,0
44011,Alcaine,Teruel,Alcaine,0,0
50013,Alcalá de Ebro,Zaragoza,Alcalá de Ebro,0,0
41004,Alcalá de Guadaíra,Sevilla,Alcalá de Guadaíra,58,0
22014,Alcalá de Gurrea,Huesca,Alcalá de Gurrea,0,0
28005,Alcalá de Henares,Madrid,Alcalá de Henares,105,1
44012,Alcalá de la Selva,Teruel,Alcalá de la Selva,1,0
16008,Alcalá de la Vega,Cuenca,Alcalá de la Vega,0,0
11001,Alcalá de los Gazules,Cádiz,Alcalá de los Gazules,7,0
50014,Alcalá de Moncayo,Zaragoza,Alcalá de Moncayo,0,0
12004,Alcalà de Xivert,Castellón,Alcalà de Xivert,5,0
2007,Alcalá del Júcar,Albacete,Alcalá del Júcar,2,0
22015,Alcalá del Obispo,Huesca,Alcalá del Obispo,0,0
41005,Alcalá del Río,Sevilla,Alcalá del Río,7,0
11002,Alcalá del Valle,Cádiz,Alcalá del Valle,5,0
23002,Alcalá la Real,Jaén,Alcalá la Real,18,0
3006,Alcalalí,Alicante,Alcalalí,0,0
22016,Alcampell,Huesca,Alcampell,1,0
26007,Alcanadre,La Rioja,Alcanadre,1,0
43004,Alcanar,Tarragona,Alcanar,5,0
25010,Alcanó,Lleida,Alcanó,1,0
10008,Alcántara,Cáceres,Alcántara,3,0
30005,Alcantarilla,Murcia,Alcantarilla,0,0
46016,Alcàntera de Xúquer,Valencia,Alcàntera de Xúquer,2,0
16009,Alcantud,Cuenca,Alcantud,0,0
49003,Alcañices,Zamora,Alcañices,3,0
44013,Alcañiz,Teruel,Alcañiz,15,0
45005,Alcañizo,Toledo,Alcañizo,0,0
14003,Alcaracejos,Córdoba,Alcaracejos,3,0
2008,Alcaraz,Albacete,Alcaraz,4,0
25011,Alcarràs,Lleida,Alcarràs,5,0
46015,Alcàsser,Valencia,Alcàsser,8,0
29002,Alcaucín,Málaga,Alcaucín,3,0
23003,Alcaudete,Jaén,Alcaudete,9,0
45006,Alcaudete de la Jara,Toledo,Alcaudete de la Jara,1,0
13005,Alcázar de San Juan,Ciudad Real,Alcázar de San Juan,30,0
16010,Alcázar del Rey,Cuenca,Alcázar del Rey,0,0
47005,Alcazarén,Valladolid,Alcazarén,0,0
30902,Alcázares (Los),Murcia,Los Alcázares,10,0
13006,Alcoba,Ciudad Real,Alcoba,1,0
28006,Alcobendas,Madrid,Alcobendas,89,3
19009,Alcocer,Guadalajara,Alcocer,0,0
3007,Alcocer de Planes,Alicante,Alcocer de Planes,0,0
9010,Alcocero de Mola,Burgos,Alcocero de Mola,0,0
16011,Alcohujate,Cuenca,Alcohujate,0,0
4007,Alcolea,Almería,Alcolea,8,0
13007,Alcolea de Calatrava,Ciudad Real,Alcolea de Calatrava,3,0
22017,Alcolea de Cinca,Huesca,Alcolea de Cinca,3,0
19010,Alcolea de las Peñas,Guadalajara,Alcolea de las Peñas,0,0
45007,Alcolea de Tajo,Toledo,Alcolea de Tajo,1,0
19011,Alcolea del Pinar,Guadalajara,Alcolea del Pinar,1,0
41006,Alcolea del Río,Sevilla,Alcolea del Río,4,0
3008,Alcoleja,Alicante,Alcoleja,0,0
25012,Alcoletge,Lleida,Alcoletge,3,0
10009,Alcollarín,Cáceres,Alcollarín,0,0
42006,Alconaba,Soria,Alconaba,0,0
37012,Alconada,Salamanca,Alconada,0,0
40005,Alconada de Maderuelo,Segovia,Alconada de Maderuelo,0,0
6007,Alconchel,Badajoz,Alconchel,2,0
50015,Alconchel de Ariza,Zaragoza,Alconchel de Ariza,0,0
16012,Alconchel de la Estrella,Cuenca,Alconchel de la Estrella,0,0
6008,Alconera,Badajoz,Alconera,1,0
4008,Alcóntar,Almería,Alcóntar,2,0
12005,Alcora (L'),Castellón,L' Alcora,1,0
28007,Alcorcón,Madrid,Alcorcón,99,4
44014,Alcorisa,Teruel,Alcorisa,6,0
19013,Alcoroches,Guadalajara,Alcoroches,0,0
43005,Alcover,Tarragona,Alcover,4,0
3009,Alcoy/Alcoi,Alicante,Alcoy/Alcoi,39,1
22018,Alcubierre,Huesca,Alcubierre,1,0
42007,Alcubilla de Avellaneda,Soria,Alcubilla de Avellaneda,0,0
42008,Alcubilla de las Peñas,Soria,Alcubilla de las Peñas,0,0
49004,Alcubilla de Nogales,Zamora,Alcubilla de Nogales,0,0
13008,Alcubillas,Ciudad Real,Alcubillas,1,0
46018,Alcublas,Valencia,Alcublas,2,0
7003,Alcúdia,Illes Balears,Alcúdia,7,0
46019,Alcúdia (L'),Valencia,L' Alcúdia,0,0
46020,Alcúdia de Crespins (L'),Valencia,L' Alcúdia de Crespins,0,0
4009,Alcudia de Monteagud,Almería,Alcudia de Monteagud,0,0
12006,Alcudia de Veo,Castellón,Alcudia de Veo,0,0
10010,Alcuéscar,Cáceres,Alcuéscar,3,0
46021,Aldaia,Valencia,Aldaia,21,0
43904,Aldea (L'),Tarragona,L' Aldea,0,0
47006,Aldea de San Miguel,Valladolid,Aldea de San Miguel,0,0
35020,Aldea de San Nicolás (La),Las Palmas,La Aldea de San Nicolás,8,0
10012,Aldea del Cano,Cáceres,Aldea del Cano,2,0
28008,Aldea del Fresno,Madrid,Aldea del Fresno,3,0
37015,Aldea del Obispo,Salamanca,Aldea del Obispo,0,0
10013,Aldea del Obispo (La),Cáceres,La Aldea del Obispo,0,0
13009,Aldea del Rey,Ciudad Real,Aldea del Rey,3,0
45008,Aldea en Cabo,Toledo,Aldea en Cabo,0,0
40012,Aldea Real,Segovia,Aldea Real,0,0
10011,Aldeacentenera,Cáceres,Aldeacentenera,1,0
37013,Aldeacipreste,Salamanca,Aldeacipreste,0,0
37014,Aldeadávila de la Ribera,Salamanca,Aldeadávila de la Ribera,1,0
42009,Aldealafuente,Soria,Aldealafuente,0,0
40006,Aldealcorvo,Segovia,Aldealcorvo,0,0
37016,Aldealengua,Salamanca,Aldealengua,0,0
40007,Aldealengua de Pedraza,Segovia,Aldealengua de Pedraza,0,0
40008,Aldealengua de Santa María,Segovia,Aldealengua de Santa María,0,0
42010,Aldealices,Soria,Aldealices,0,0
42011,Aldealpozo,Soria,Aldealpozo,0,0
42012,Aldealseñor,Soria,Aldealseñor,0,0
47007,Aldeamayor de San Martín,Valladolid,Aldeamayor de San Martín,2,0
45009,Aldeanueva de Barbarroya,Toledo,Aldeanueva de Barbarroya,0,0
26008,Aldeanueva de Ebro,La Rioja,Aldeanueva de Ebro,3,0
37017,Aldeanueva de Figueroa,Salamanca,Aldeanueva de Figueroa,0,0
19015,Aldeanueva de Guadalajara,Guadalajara,Aldeanueva de Guadalajara,0,0
40009,Aldeanueva de la Serrezuela,Segovia,Aldeanueva de la Serrezuela,0,0
37018,Aldeanueva de la Sierra,Salamanca,Aldeanueva de la Sierra,0,0
10014,Aldeanueva de la Vera,Cáceres,Aldeanueva de la Vera,1,0
45010,Aldeanueva de San Bartolomé,Toledo,Aldeanueva de San Bartolomé,0,0
5007,Aldeanueva de Santa Cruz,Ávila,Aldeanueva de Santa Cruz,0,0
10015,Aldeanueva del Camino,Cáceres,Aldeanueva del Camino,0,0
40010,Aldeanueva del Codonal,Segovia,Aldeanueva del Codonal,0,0
23004,Aldeaquemada,Jaén,Aldeaquemada,1,0
37019,Aldearrodrigo,Salamanca,Aldearrodrigo,0,0
37020,Aldearrubia,Salamanca,Aldearrubia,0,0
5008,Aldeaseca,Ávila,Aldeaseca,0,0
37021,Aldeaseca de Alba,Salamanca,Aldeaseca de Alba,0,0
37022,Aldeaseca de la Frontera,Salamanca,Aldeaseca de la Frontera,0,0
40013,Aldeasoña,Segovia,Aldeasoña,0,0
37023,Aldeatejada,Salamanca,Aldeatejada,2,0
37024,Aldeavieja de Tormes,Salamanca,Aldeavieja de Tormes,0,0
40014,Aldehorno,Segovia,Aldehorno,0,0
5010,Aldehuela (La),Ávila,La Aldehuela,0,0
10016,Aldehuela de Jerte,Cáceres,Aldehuela de Jerte,0,0
37025,Aldehuela de la Bóveda,Salamanca,Aldehuela de la Bóveda,0,0
50016,Aldehuela de Liestos,Zaragoza,Aldehuela de Liestos,0,0
42013,Aldehuela de Periáñez,Soria,Aldehuela de Periáñez,0,0
37026,Aldehuela de Yeltes,Salamanca,Aldehuela de Yeltes,0,0
40015,Aldehuela del Codonal,Segovia,Aldehuela del Codonal,0,0
42014,Aldehuelas (Las),Soria,Las Aldehuelas,0,0
18010,Aldeire,Granada,Aldeire,0,0
40016,Aldeonte,Segovia,Aldeonte,0,0
43006,Aldover,Tarragona,Aldover,1,0
30006,Aledo,Murcia,Aledo,1,0
20005,Alegia,Gipuzkoa,Alegia,3,0
