municipio,provincia,codigo_ine,num_universidades
Alqueries (les)/Alquerías del Niño Perdido,Castellón,12901,0
Alquézar,Huesca,22024,0
Alquife,Granada,18018,0
Alsodux,Almería,4015,0
Alt Àneu,Lleida,25024,0
Altable,Burgos,9013,0
Altafulla,Tarragona,43012,0
Altarejos,Cuenca,16019,0
Altea,Alicante,3018,1
Altorricón,Huesca,22025,0
Altos (Los),Burgos,9014,0
Altsasu/Alsasua,Navarra,31010,0
Altura,Castellón,12012,0
Altzaga,Gipuzkoa,20906,0
Altzo,Gipuzkoa,20007,0
Alustante,Guadalajara,19027,0
Alzira,Valencia,46017,0
Amavida,Ávila,5012,0
Amayuelas de Arriba,Palencia,34009,0
Ambel,Zaragoza,50027,0
Ambite,Madrid,28011,0
Amer,Girona,17007,0
Ames,A Coruña,15002,0
Améscoa Baja,Navarra,31013,0
Ametlla de Mar (L'),Tarragona,43013,0
Ametlla del Vallès (L'),Barcelona,8005,0
Ameyugo,Burgos,9016,0
Amezketa,Gipuzkoa,20008,0
Amieva,Asturias,33003,0
Amoeiro,Ourense,32002,0
Amorebieta-Etxano,Bizkaia,48003,0
Amoroto,Bizkaia,48004,0
Ampolla (L'),Tarragona,43906,0
Amposta,Tarragona,43014,1
Ampudia,Palencia,34010,0
Ampuero,Cantabria,39002,0
Amurrio,Álava,1002,0
Amusco,Palencia,34011,0
Amusquillo,Valladolid,47009,0
Anadón,Teruel,44024,0
Anaya,Segovia,40017,0
Anaya de Alba,Salamanca,37029,0
Anchuelo,Madrid,28012,0
Anchuras,Ciudad Real,13017,0
Ancín/Antzin,Navarra,31014,0
Andavías,Zamora,49009,0
Andilla,Valencia,46038,0
Andoain,Gipuzkoa,20009,0
Andorra,Teruel,44025,0
Andosilla,Navarra,31015,0
Andratx,Illes Balears,7005,0
Andújar,Jaén,23005,0
Anento,Zaragoza,50028,0
Anglès,Girona,17008,0
Anglesola,Lleida,25027,0
Angón,Guadalajara,19031,0
Anguciana,La Rioja,26013,0
Angüés,Huesca,22027,0
Anguiano,La Rioja,26014,0
Anguita,Guadalajara,19032,0
Anguix,Burgos,9017,0
Anievas,Cantabria,39003,0
Aniñón,Zaragoza,50029,0
Anna,Valencia,46039,0
Anoeta,Gipuzkoa,20010,0
Anquela del Ducado,Guadalajara,19033,0
Anquela del Pedregal,Guadalajara,19034,0
Ansó,Huesca,22028,0
Ansoáin/Antsoain,Navarra,31016,0
Antas,Almería,4016,0
Antas de Ulla,Lugo,27003,0
Antella,Valencia,46040,0
Antequera,Málaga,29015,1
Antigua,Las Palmas,35003,0
Antigua (La),León,24005,0
Antigüedad,Palencia,34012,0
Antillón,Huesca,22029,0
Antzuola,Gipuzkoa,20011,0
Anue,Navarra,31017,0
Añana,Álava,1049,0
Añe,Segovia,40018,0
Añón de Moncayo,Zaragoza,50030,0
