municipio,provincia,municipio_nombre_humano,lat,lon,kms_capital_provincia
Garrucha,Almería,Garrucha,37.182789,-1.820321,90.661428
Gérgal,Almería,Gérgal,37.11886,-2.54012,44.450471
Huécija,Almería,Huécija,36.96804,-2.6094,28.630111
Huércal de Almería,Almería,Huércal de Almería,36.880862,-2.441678,5.127524
Huércal-Overa,Almería,Huércal-Overa,37.395639,-1.945354,110.319307
Íllar,Almería,Íllar,36.98562,-2.63871,31.889561
Instinción,Almería,Instinción,36.99344,-2.66046,34.028701
Laroya,Almería,Laroya,37.29771,-2.33419,87.254512
Láujar de Andarax,Almería,Láujar de Andarax,36.99416,-2.893955,87.62124899999999
Líjar,Almería,Líjar,37.29492,-2.21937,84.87927499999999
Lubrín,Almería,Lubrín,37.21538,-2.06678,88.636855
Lucainena de las Torres,Almería,Lucainena de las Torres,37.04038,-2.20095,57.626402999999996
Lúcar,Almería,Lúcar,37.40035,-2.42496,102.229494
Macael,Almería,Macael,37.335906,-2.290791,79.321966
María,Almería,María,37.710788,-2.164725,174.131752
Mojácar,Almería,Mojácar,37.120291,-1.837481,92.057809
Mojonera (La),Almería,La Mojonera,36.752832,-2.681988,27.717734
Nacimiento,Almería,Nacimiento,37.10615,-2.64846,53.819176999999996
Níjar,Almería,Níjar,36.964012,-2.207395,39.046738
Ohanes,Almería,Ohanes,37.03861,-2.74524,48.761581
Olula de Castro,Almería,Olula de Castro,37.17475,-2.4743,55.242563000000004
Olula del Río,Almería,Olula del Río,37.353887,-2.29565,81.57296
Oria,Almería,Oria,37.48397,-2.295461,145.191551
Padules,Almería,Padules,36.977131,-2.764865,54.723152
Partaloa,Almería,Partaloa,37.40764,-2.22526,132.702463
Paterna del Río,Almería,Paterna del Río,37.02222,-2.95343,93.026685
Pechina,Almería,Pechina,37.34612,-2.57895,104.726537
Pulpí,Almería,Pulpí,37.41134,-1.746038,116.486142
Purchena,Almería,Purchena,37.34761,-2.361655,142.946019
Rágol,Almería,Rágol,36.99523,-2.68178,36.321331
Rioja,Almería,Rioja,36.943298,-2.462973,14.453238
Roquetas de Mar,Almería,Roquetas de Mar,36.766784,-2.610328,22.665199
Santa Cruz de Marchena,Almería,Santa Cruz de Marchena,37.01736,-2.60337,31.809789000000002
Santa Fe de Mondújar,Almería,Santa Fe de Mondújar,36.97479,-2.53126,22.880104
Senés,Almería,Senés,37.20367,-2.34631,53.87592
Serón,Almería,Serón,37.343094,-2.510717,97.442054
Sierro,Almería,Sierro,37.32237,-2.39844,95.736722
Somontín,Almería,Somontín,37.39176,-2.38828,147.71176300000002
Sorbas,Almería,Sorbas,37.098392,-2.123837,73.039792
Suflí,Almería,Suflí,37.33866,-2.38817,101.5005
Tabernas,Almería,Tabernas,37.052305,-2.392007,34.364051999999994
Taberno,Almería,Taberno,37.4688,-2.07736,127.95631
Tahal,Almería,Tahal,37.22797,-2.2847,74.292598
Terque,Almería,Terque,36.98393,-2.59679,28.38976
Tíjola,Almería,Tíjola,37.34643,-2.433715,95.35576699999999
Tres Villas (Las),Almería,Las Tres Villas,37.158261,-2.715906,62.84232
Turre,Almería,Turre,37.152363,-1.894506,83.606604
Turrillas,Almería,Turrillas,37.02948,-2.26607,50.457294999999995
Uleila del Campo,Almería,Uleila del Campo,37.1846,-2.20491,58.768104
Urrácal,Almería,Urrácal,37.3974,-2.36485,146.082763
Velefique,Almería,Velefique,37.19407,-2.40155,52.266960999999995
Vélez-Blanco,Almería,Vélez-Blanco,37.692512,-2.095392,165.98443799999998
Vélez-Rubio,Almería,Vélez-Rubio,37.647982,-2.075089,159.826483
Vera,Almería,Vera,37.246352,-1.868843,90.59167
Viator,Almería,Viator,36.882156,-2.417627,7.17078
Vícar,Almería,Vícar,36.80006,-2.647875,23.542955999999997
Zurgena,Almería,Zurgena,37.34218,-2.03985,111.24054000000001
Adanero,Ávila,Adanero,40.94487,-4.60561,43.689362
Adrada (La),Ávila,La Adrada,40.30084,-4.635961,69.798825
Albornos,Ávila,Albornos,40.83795,-4.88129,35.71076599999999
Aldeanueva de Santa Cruz,Ávila,Aldeanueva de Santa Cruz,40.38189,-5.42142,75.48086500000001
