municipio,provincia,codigo_ine,municipio_nombre_humano,renta_bruta_media
Alfarrasí,Valencia,46027,Alfarrasí,21375
Alfàs del Pi (L'),Alicante,3011,L' Alfàs del Pi,23653
Alfauir,Valencia,46023,Alfauir,20105
Alfés,Lleida,25014,Alfés,23784
Alfondeguilla,Castellón,12007,Alfondeguilla,19448
Alforja,Tarragona,43009,Alforja,25755
Alforque,Zaragoza,50019,Alforque,19366
Alfoz,Lugo,27002,Alfoz,17674
Alfoz de Bricia,Burgos,9011,Alfoz de Bricia,22478
Alfoz de Lloredo,Cantabria,39001,Alfoz de Lloredo,22467
Alfoz de Quintanadueñas,Burgos,9907,Alfoz de Quintanadueñas,28009
Alfoz de Santa Gadea,Burgos,9012,Alfoz de Santa Gadea,22478
Algaba (La),Sevilla,41007,La Algaba,21801
Algadefe,León,24002,Algadefe,18440
Algaida,Illes Balears,7004,Algaida,29129
Algámitas,Sevilla,41008,Algámitas,15109
Algar,Cádiz,11003,Algar,17799
Algar de Mesa,Guadalajara,19016,Algar de Mesa,20180
Algar de Palancia,Valencia,46028,Algar de Palancia,20105
Algarinejo,Granada,18012,Algarinejo,12970
Algarra,Cuenca,16013,Algarra,17337
Algarrobo,Málaga,29005,Algarrobo,19033
Algatocín,Málaga,29006,Algatocín,15618
Algeciras,Cádiz,11004,Algeciras,28887
Algemesí,Valencia,46029,Algemesí,22755
Algerri,Lleida,25015,Algerri,23784
Algete,Madrid,28009,Algete,41132
Algímia d'Alfara,Valencia,46030,Algímia d'Alfara,23268
Algimia de Almonacid,Castellón,12008,Algimia de Almonacid,19448
Alginet,Valencia,46031,Alginet,21863
Algodonales,Cádiz,11005,Algodonales,18041
Algodre,Zamora,49006,Algodre,16878
Algora,Guadalajara,19017,Algora,20180
Algorfa,Alicante,3012,Algorfa,17986
Alguaire,Lleida,25016,Alguaire,24380
Alguazas,Murcia,30007,Alguazas,20471
Algueña,Alicante,3013,Algueña,20186
Alhabia,Almería,4010,Alhabia,15879
Alhama de Almería,Almería,4011,Alhama de Almería,18408
Alhama de Aragón,Zaragoza,50020,Alhama de Aragón,18847
Alhama de Granada,Granada,18013,Alhama de Granada,16990
Alhama de Murcia,Murcia,30008,Alhama de Murcia,22669
Alhambra,Ciudad Real,13010,Alhambra,14722
Alhaurín de la Torre,Málaga,29007,Alhaurín de la Torre,27028
Alhaurín el Grande,Málaga,29008,Alhaurín el Grande,19972
Alhendín,Granada,18014,Alhendín,23279
Alhóndiga,Guadalajara,19018,Alhóndiga,20180
Alía,Cáceres,10017,Alía,15773
Aliaga,Teruel,44017,Aliaga,18797
Aliaguilla,Cuenca,16014,Aliaguilla,17337
Alicante/Alacant,Alicante,3014,Alicante/Alacant,28044
Alicún,Almería,4012,Alicún,15879
Alicún de Ortega,Granada,18015,Alicún de Ortega,16108
Alija del Infantado,León,24003,Alija del Infantado,18440
Alins,Lleida,25017,Alins,23784
Alió,Tarragona,43010,Alió,23434
Alique,Guadalajara,19019,Alique,20180
Aliseda,Cáceres,10018,Aliseda,15267
Aliud,Soria,42016,Aliud,19216
Aljaraque,Huelva,21002,Aljaraque,30121
Aljucén,Badajoz,6009,Aljucén,15113
Alkiza,Gipuzkoa,20006,Alkiza,47954
Allande,Asturias,33001,Allande,17474
Allariz,Ourense,32001,Allariz,22594
Allepuz,Teruel,44021,Allepuz,18797
Aller,Asturias,33002,Aller,26506
Allín/Allin,Navarra,31011,Allín/Allin,20764
Allo,Navarra,31012,Allo,18242
Alloza,Teruel,44022,Alloza,18797
Allueva,Teruel,44023,Allueva,18797
Almacelles,Lleida,25019,Almacelles,25582
Almáchar,Málaga,29009,Almáchar,13868
Almadén,Ciudad Real,13011,Almadén,20758
Almadén de la Plata,Sevilla,41009,Almadén de la Plata,17039
Almadenejos,Ciudad Real,13012,Almadenejos,16766
Almadrones,Guadalajara,19020,Almadrones,20180
Almagro,Ciudad Real,13013,Almagro,22425
Almajano,Soria,42017,Almajano,19216
Almaluez,Soria,42018,Almaluez,19216
Almansa,Albacete,2009,Almansa,23607
Almanza,León,24004,Almanza,18440
Almaraz,Cáceres,10019,Almaraz,25252
Almaraz de Duero,Zamora,49007,Almaraz de Duero,16878
Almarcha (La),Cuenca,16015,La Almarcha,17337
Almargen,Málaga,29010,Almargen,19415
Almarza,Soria,42019,Almarza,19216
Almarza de Cameros,La Rioja,26012,Almarza de Cameros,21118
Almàssera,Valencia,46032,Almàssera,25621
Almassora,Castellón,12009,Almassora,23817
Almatret,Lleida,25020,Almatret,23784
Almazán,Soria,42020,Almazán,22877
Almazul,Soria,42021,Almazul,19216
Almedíjar,Castellón,12010,Almedíjar,19448
Almedina,Ciudad Real,13014,Almedina,16766
Almedinilla,Córdoba,14004,Almedinilla,14908
Almegíjar,Granada,18016,Almegíjar,16108
Almeida de Sayago,Zamora,49008,Almeida de Sayago,16878
Almenar,Lleida,25021,Almenar,23444
Almenar de Soria,Soria,42022,Almenar de Soria,19216
Almenara,Castellón,12011,Almenara,22807
Almenara de Adaja,Valladolid,47008,Almenara de Adaja,19844
Almenara de Tormes,Salamanca,37027,Almenara de Tormes,17879
Almendra,Salamanca,37028,Almendra,17879
Almendral,Badajoz,6010,Almendral,15916
Almendral de la Cañada,Toledo,45011,Almendral de la Cañada,18671
Almendralejo,Badajoz,6011,Almendralejo,21111
Almendro (El),Huelva,21003,El Almendro,16881
Almendros,Cuenca,16016,Almendros,17337
Almensilla,Sevilla,41010,Almensilla,23352
Almería,Almería,4013,Almería,25682
Almiserà,Valencia,46033,Almiserà,20105
Almochuel,Zaragoza,50021,Almochuel,19366
Almócita,Almería,4014,Almócita,15879
Almodóvar del Campo,Ciudad Real,13015,Almodóvar del Campo,24224
Almodóvar del Pinar,Cuenca,16017,Almodóvar del Pinar,17337
Almodóvar del Río,Córdoba,14005,Almodóvar del Río,17653
Almogía,Málaga,29011,Almogía,16944
Almoguera,Guadalajara,19021,Almoguera,20022
Almohaja,Teruel,44018,Almohaja,18797
Almoharín,Cáceres,10020,Almoharín,14926
Almoines,Valencia,46034,Almoines,21116
Almolda (La),Zaragoza,50022,La Almolda,19366
Almonacid de la Cuba,Zaragoza,50023,Almonacid de la Cuba,19366
Almonacid de la Sierra,Zaragoza,50024,Almonacid de la Sierra,19366
Almonacid de Toledo,Toledo,45012,Almonacid de Toledo,18671
Almonacid de Zorita,Guadalajara,19022,Almonacid de Zorita,20180
Almonacid del Marquesado,Cuenca,16018,Almonacid del Marquesado,17337
Almonaster la Real,Huelva,21004,Almonaster la Real,20938
Almonte,Huelva,21005,Almonte,15285
Almoradí,Alicante,3015,Almoradí,19854
Almorox,Toledo,45013,Almorox,18236
Almoster,Tarragona,43011,Almoster,39471
Almudaina,Alicante,3016,Almudaina,19603
Almudévar,Huesca,22021,Almudévar,24358
