municipio,provincia,municipio_nombre_humano,poblacion,superficie,densidad_poblacion
Albuera (La),Badajoz,La Albuera,2026,26.3740,76.8180784105559
Albuixech,Valencia,Albuixech,4189,4.4187,948.016384909589
Albuñán,Granada,Albuñán,403,8.530,47.2450175849941
Albuñol,Granada,Albuñol,7473,62.9423,118.727787195574
Albuñuelas,Granada,Albuñuelas,786,140.0468,5.6124095659451
Alburquerque,Badajoz,Alburquerque,5245,723.2279,7.25220915841327
Alcabón,Toledo,Alcabón,678,8.0246,84.4901926575779
Alcadozo,Albacete,Alcadozo,632,99.6,6.34538152610442
Alcaine,Teruel,Alcaine,46,57.3764,0.801723356641407
Alcalá de Ebro,Zaragoza,Alcalá de Ebro,245,9.8732,24.8146497589434
Alcalá de Guadaíra,Sevilla,Alcalá de Guadaíra,75546,284.93,265.138806022532
Alcalá de Gurrea,Huesca,Alcalá de Gurrea,230,71.42,3.22038644637356
Alcalá de Henares,Madrid,Alcalá de Henares,195982,87.7218,2234.13108258152
Alcalá de la Selva,Teruel,Alcalá de la Selva,352,104.952,3.35391417028737
Alcalá de la Vega,Cuenca,Alcalá de la Vega,85,69.2525,1.22739251290567
Alcalá de los Gazules,Cádiz,Alcalá de los Gazules,5245,479.07,10.9482956561672
Alcalá de Moncayo,Zaragoza,Alcalá de Moncayo,153,13.7569,11.1216916601851
Alcalà de Xivert,Castellón,Alcalà de Xivert,6691,167.5586,39.9322983123516
Alcalá del Júcar,Albacete,Alcalá del Júcar,1153,146.8244,7.85291817981207
Alcalá del Obispo,Huesca,Alcalá del Obispo,337,48.04,7.01498751040799
Alcalá del Río,Sevilla,Alcalá del Río,12264,82.57,148.528521254693
Alcalá del Valle,Cádiz,Alcalá del Valle,5031,46.8949,107.282455021761
Alcalá la Real,Jaén,Alcalá la Real,21623,261.36,82.7326293235384
Alcalalí,Alicante,Alcalalí,1336,14.3978,92.7919543263554
Alcampell,Huesca,Alcampell,627,58.0017,10.8100279819385
Alcanadre,La Rioja,Alcanadre,647,31.08,20.8172458172458
Alcanar,Tarragona,Alcanar,9579,47.1012,203.370614761407
Alcanó,Lleida,Alcanó,233,21.1243,11.0299512883267
Alcántara,Cáceres,Alcántara,1386,551.9948,2.51089321855931
Alcantarilla,Murcia,Alcantarilla,42559,16.2443,2619.93437698146
Alcàntera de Xúquer,Valencia,Alcàntera de Xúquer,1402,3.3250,421.654135338346
Alcantud,Cuenca,Alcantud,48,57.6318,0.832873517745411
Alcañices,Zamora,Alcañices,1042,54.98,18.9523463077483
Alcañiz,Teruel,Alcañiz,16029,472.1167,33.9513514349312
Alcañizo,Toledo,Alcañizo,274,13.5091,20.282624305098
Alcaracejos,Córdoba,Alcaracejos,1481,175.87,8.42099277875704
Alcaraz,Albacete,Alcaraz,1310,370.5331,3.53544663081382
Alcarràs,Lleida,Alcarràs,9678,114.6453,84.4168927989198
Alcàsser,Valencia,Alcàsser,10266,9.00,1140.66666666667
Alcaucín,Málaga,Alcaucín,2366,45.19,52.35671608763
Alcaudete,Jaén,Alcaudete,10434,236.84,44.0550582671846
Alcaudete de la Jara,Toledo,Alcaudete de la Jara,1644,156.1194,10.5304017309828
Alcázar de San Juan,Ciudad Real,Alcázar de San Juan,30548,666.50,45.8334583645911
Alcázar del Rey,Cuenca,Alcázar del Rey,128,46.4982,2.75279473183908
Alcazarén,Valladolid,Alcazarén,632,48.0433,13.1547999408867
Alcázares (Los),Murcia,Los Alcázares,16935,20.06,844.217347956132
