municipio,provincia,municipio_nombre_humano,codigo_INE,lat,lon,feb_avg_min_temp,feb_avg_max_temp,feb_avg_temp,feb_avg_humidity,feb_avg_wind,feb_avg_min_rain,feb_avg_max_rain,feb_avg_rain,feb_avg_clouds,feb_avg_sunshine_hours,jul_avg_min_temp,jul_avg_max_temp,jul_avg_temp,jul_avg_humidity,jul_avg_wind,jul_avg_min_rain,jul_avg_max_rain,jul_avg_rain,jul_avg_clouds,jul_avg_sunshine_hours
Aguilar de Bureba,Burgos,Aguilar de Bureba,9007,42.591397,-3.325796,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Aguilar de Campoo,Palencia,Aguilar de Campoo,34004,42.794993,-4.262107,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Aguilar de Campos,Valladolid,Aguilar de Campos,47003,41.98375,-5.18118,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3
Aguilar de Codés,Navarra,Aguilar de Codés,31008,42.61249,-2.38987,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6
Aguilar de la Frontera,Córdoba,Aguilar de la Frontera,14002,37.513613,-4.656526,0.11,20.87,10.01,77.64,8.86,0,12.0,0.12,31.16,144.2,15.15,41.33,28.1,43.13,8.93,0,0.9,0.0,5.47,379.4
Aguilar de Segarra,Barcelona,Aguilar de Segarra,8002,41.74822,1.62919,0.35,18.97,10.23,71.47,10.8,0,12.0,0.06,28.22,121.7,16.51,33.57,25.31,66.02,9.94,0,12.0,0.06,16.28,226.6
Aguilar del Alfambra,Teruel,Aguilar del Alfambra,44005,40.59027,-0.79589,1.89,23.34,11.46,62.96,11.3,0,3.0,0.04,28.33,135.6,17.32,34.63,26.26,62.23,8.71,0,12.0,0.02,15.65,272.0
Aguilar del Río Alhama,La Rioja,Aguilar del Río Alhama,26003,41.96212,-1.9934,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6
Águilas,Murcia,Águilas,30003,37.409108,-1.583878,2.07,22.42,12.45,70.59,14.0,0,0.9,0.02,29.05,138.0,16.68,38.0,26.21,67.32,9.79,0,0.9,0.0,12.65,319.0
Aguilón,Zaragoza,Aguilón,50005,41.29467,-1.04634,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1
Agüimes,Las Palmas,Agüimes,35002,27.75958,-15.5969,12.91,24.0,18.12,66.96,23.47,0,3.0,0.01,36.41,63.4,19.23,31.86,23.48,65.63,38.88,0,0.3,0.0,28.09,52.6
Agullana,Girona,Agullana,17001,42.393574,2.846513,-0.59,20.14,9.69,68.47,16.52,0,3.0,0.04,38.23,115.1,16.6,35.21,25.51,56.07,15.55,0,3.0,0.02,21.88,273.7
Agullent,Valencia,Agullent,46004,38.828068,-0.558055,2.82,22.95,12.68,64.49,13.61,0,3.0,0.01,20.51,128.7,18.05,35.48,26.22,66.97,10.8,0,3.0,0.01,10.71,286.3
Agulo,Santa Cruz de Tenerife,Agulo,38002,28.18778,-17.19678,11.46,22.54,16.32,74.97,18.07,0,12.0,0.03,37.87,84.0,16.24,31.47,21.78,77.32,24.05,0,3.0,0.0,36.47,126.3
Agurain/Salvatierra,Álava,Agurain/Salvatierra,1051,42.847308,-2.392287,-3.31,17.78,6.96,82.07,10.44,0,3.0,0.08,50.46,44.4,9.02,35.75,20.22,74.43,10.37,0,3.0,0.04,40.26,95.3
Ahigal,Cáceres,Ahigal,10006,40.189347,-6.188442,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Ahigal de los Aceiteros,Salamanca,Ahigal de los Aceiteros,37003,40.87231,-6.74702,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Ahigal de Villarino,Salamanca,Ahigal de Villarino,37004,41.15819,-6.38037,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Ahillones,Badajoz,Ahillones,6003,38.259328,-5.864075,2.69,26.03,12.56,74.66,10.15,0,3.0,0.04,23.31,157.7,17.2,40.68,28.02,49.38,10.48,0,3.0,0.0,5.26,378.3
Aia,Gipuzkoa,Aia,20016,42.96607,-2.15512,-0.49,19.36,9.12,77.52,10.04,0,12.0,0.21,45.86,92.1,12.94,34.91,21.15,79.39,7.24,0,12.0,0.07,47.51,108.1
Aibar/Oibar,Navarra,Aibar/Oibar,31009,42.592394,-1.36053,-3.52,17.19,6.93,81.04,11.27,0,3.0,0.17,42.83,81.1,10.76,36.9,21.58,67.67,11.59,0,12.0,0.04,27.63,169.0
Aielo de Malferit,Valencia,Aielo de Malferit,46042,38.878858,-0.589872,2.82,22.95,12.68,64.49,13.61,0,3.0,0.01,20.51,128.7,18.05,35.48,26.22,66.97,10.8,0,3.0,0.01,10.71,286.3
Aielo de Rugat,Valencia,Aielo de Rugat,46043,38.873542,-0.339631,2.82,22.95,12.68,64.49,13.61,0,3.0,0.01,20.51,128.7,18.05,35.48,26.22,66.97,10.8,0,3.0,0.01,10.71,286.3
Aiguafreda,Barcelona,Aiguafreda,8014,41.768409,2.25115,0.63,19.45,10.23,71.98,11.52,0,12.0,0.06,28.65,120.0,17.29,33.37,25.34,67.04,10.73,0,12.0,0.07,15.73,228.9
Aiguamúrcia,Tarragona,Aiguamúrcia,43001,41.369474,1.392718,-1.49,20.08,9.75,70.06,10.76,0,3.0,0.03,27.37,94.3,15.17,32.62,25.18,65.16,8.96,0,12.0,0.07,19.45,168.6
Aiguaviva,Girona,Aiguaviva,17002,41.943502,2.781451,0.78,18.94,10.33,72.33,11.23,0,12.0,0.07,34.52,107.1,17.51,32.89,25.31,66.34,9.4,0,12.0,0.09,17.22,247.9
Aigües,Alicante,Aigües,3004,38.501351,-0.364025,2.82,22.95,12.68,64.49,13.61,0,3.0,0.01,20.51,128.7,18.05,35.48,26.22,66.97,10.8,0,3.0,0.01,10.71,286.3
Aín,Castellón,Aín,12002,39.892802,-0.348672,1.89,23.34,11.46,62.96,11.3,0,3.0,0.04,28.33,135.6,17.32,34.63,26.26,62.23,8.71,0,12.0,0.02,15.65,272.0
Aínsa-Sobrarbe,Huesca,Aínsa-Sobrarbe,22907,42.32688,0.07127,-2.72,19.42,8.12,76.11,10.55,0,3.0,0.05,25.44,134.0,14.37,37.58,25.68,57.9,10.44,0,12.0,0.02,13.57,291.8
Ainzón,Zaragoza,Ainzón,50006,41.815329,-1.518626,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1
Aisa,Huesca,Aisa,22006,42.787937,-0.528195,-3.52,17.19,6.93,81.04,11.27,0,3.0,0.17,42.83,81.1,10.76,36.9,21.58,67.67,11.59,0,12.0,0.04,27.63,169.0
Aitona,Lleida,Aitona,25038,41.493249,0.45876,-2.72,19.42,8.12,76.11,10.55,0,3.0,0.05,25.44,134.0,14.37,37.58,25.68,57.9,10.44,0,12.0,0.02,13.57,291.8
Aizarnazabal,Gipuzkoa,Aizarnazabal,20003,43.25591,-2.23607,-0.49,19.36,9.12,77.52,10.04,0,12.0,0.21,45.86,92.1,12.94,34.91,21.15,79.39,7.24,0,12.0,0.07,47.51,108.1
