municipio,provincia,municipio_nombre_humano,codigo_INE
Amayuelas de Arriba,Palencia,Amayuelas de Arriba,34009
Ambel,Zaragoza,Ambel,50027
Ambite,Madrid,Ambite,28011
Amer,Girona,Amer,17007
Ames,A Coruña,Ames,15002
Améscoa Baja,Navarra,Améscoa Baja,31013
Ametlla de Mar (L'),Tarragona,L' Ametlla de Mar,43013
Ametlla del Vallès (L'),Barcelona,L' Ametlla del Vallès,8005
Ameyugo,Burgos,Ameyugo,9016
Amezketa,Gipuzkoa,Amezketa,20008
Amieva,Asturias,Amieva,33003
Amoeiro,Ourense,Amoeiro,32002
Amorebieta-Etxano,Bizkaia,Amorebieta-Etxano,48003
Amoroto,Bizkaia,Amoroto,48004
Ampolla (L'),Tarragona,L' Ampolla,43906
Amposta,Tarragona,Amposta,43014
Ampudia,Palencia,Ampudia,34010
Ampuero,Cantabria,Ampuero,39002
Amurrio,Álava,Amurrio,1002
Amusco,Palencia,Amusco,34011
Amusquillo,Valladolid,Amusquillo,47009
Anadón,Teruel,Anadón,44024
Anaya,Segovia,Anaya,40017
Anaya de Alba,Salamanca,Anaya de Alba,37029
Anchuelo,Madrid,Anchuelo,28012
