codigo_ine,municipio,provincia,municipio_nombre_humano
46025,Alfara del Patriarca,Valencia,Alfara del Patriarca
49005,Alfaraz de Sayago,Zamora,Alfaraz de Sayago
29003,Alfarnate,Málaga,Alfarnate
29004,Alfarnatejo,Málaga,Alfarnatejo
26011,Alfaro,La Rioja,Alfaro
46026,Alfarp,Valencia,Alfarp
25013,Alfarràs,Lleida,Alfarràs
46027,Alfarrasí,Valencia,Alfarrasí
03011,Alfàs del Pi (L'),Alicante,L' Alfàs del Pi
46023,Alfauir,Valencia,Alfauir
25014,Alfés,Lleida,Alfés
12007,Alfondeguilla,Castellón,Alfondeguilla
43009,Alforja,Tarragona,Alforja
50019,Alforque,Zaragoza,Alforque
27002,Alfoz,Lugo,Alfoz
09011,Alfoz de Bricia,Burgos,Alfoz de Bricia
39001,Alfoz de Lloredo,Cantabria,Alfoz de Lloredo
09907,Alfoz de Quintanadueñas,Burgos,Alfoz de Quintanadueñas
09012,Alfoz de Santa Gadea,Burgos,Alfoz de Santa Gadea
41007,Algaba (La),Sevilla,La Algaba
24002,Algadefe,León,Algadefe
07004,Algaida,Islas Baleares,Algaida
41008,Algámitas,Sevilla,Algámitas
11003,Algar,Cádiz,Algar
19016,Algar de Mesa,Guadalajara,Algar de Mesa
46028,Algar de Palancia,Valencia,Algar de Palancia
18012,Algarinejo,Granada,Algarinejo
16013,Algarra,Cuenca,Algarra
29005,Algarrobo,Málaga,Algarrobo
29006,Algatocín,Málaga,Algatocín
11004,Algeciras,Cádiz,Algeciras
46029,Algemesí,Valencia,Algemesí
25015,Algerri,Lleida,Algerri
28009,Algete,Madrid,Algete
46030,Algímia d'Alfara,Valencia,Algímia d'Alfara
12008,Algimia de Almonacid,Castellón,Algimia de Almonacid
46031,Alginet,Valencia,Alginet
11005,Algodonales,Cádiz,Algodonales
49006,Algodre,Zamora,Algodre
19017,Algora,Guadalajara,Algora
03012,Algorfa,Alicante,Algorfa
25016,Alguaire,Lleida,Alguaire
30007,Alguazas,Murcia,Alguazas
03013,Algueña,Alicante,Algueña
04010,Alhabia,Almería,Alhabia
04011,Alhama de Almería,Almería,Alhama de Almería
50020,Alhama de Aragón,Zaragoza,Alhama de Aragón
18013,Alhama de Granada,Granada,Alhama de Granada
30008,Alhama de Murcia,Murcia,Alhama de Murcia
13010,Alhambra,Ciudad Real,Alhambra
29007,Alhaurín de la Torre,Málaga,Alhaurín de la Torre
29008,Alhaurín el Grande,Málaga,Alhaurín el Grande
18014,Alhendín,Granada,Alhendín
19018,Alhóndiga,Guadalajara,Alhóndiga
10017,Alía,Cáceres,Alía
44017,Aliaga,Teruel,Aliaga
16014,Aliaguilla,Cuenca,Aliaguilla
03014,Alicante/Alacant,Alicante,Alicante/Alacant
04012,Alicún,Almería,Alicún
18015,Alicún de Ortega,Granada,Alicún de Ortega
24003,Alija del Infantado,León,Alija del Infantado
25017,Alins,Lleida,Alins
43010,Alió,Tarragona,Alió
19019,Alique,Guadalajara,Alique
10018,Aliseda,Cáceres,Aliseda
42016,Aliud,Soria,Aliud
21002,Aljaraque,Huelva,Aljaraque
06009,Aljucén,Badajoz,Aljucén
20006,Alkiza,Gipuzkoa,Alkiza
33001,Allande,Asturias,Allande
32001,Allariz,Ourense,Allariz
44021,Allepuz,Teruel,Allepuz
33002,Aller,Asturias,Aller
31011,Allín/Allin,Navarra,Allín/Allin
31012,Allo,Navarra,Allo
44022,Alloza,Teruel,Alloza
44023,Allueva,Teruel,Allueva
25019,Almacelles,Lleida,Almacelles
29009,Almáchar,Málaga,Almáchar
13011,Almadén,Ciudad Real,Almadén
41009,Almadén de la Plata,Sevilla,Almadén de la Plata
13012,Almadenejos,Ciudad Real,Almadenejos
19020,Almadrones,Guadalajara,Almadrones
13013,Almagro,Ciudad Real,Almagro
42017,Almajano,Soria,Almajano
42018,Almaluez,Soria,Almaluez
02009,Almansa,Albacete,Almansa
24004,Almanza,León,Almanza
10019,Almaraz,Cáceres,Almaraz
49007,Almaraz de Duero,Zamora,Almaraz de Duero
16015,Almarcha (La),Cuenca,La Almarcha
29010,Almargen,Málaga,Almargen
42019,Almarza,Soria,Almarza
26012,Almarza de Cameros,La Rioja,Almarza de Cameros
46032,Almàssera,Valencia,Almàssera
12009,Almassora,Castellón,Almassora
25020,Almatret,Lleida,Almatret
42020,Almazán,Soria,Almazán
42021,Almazul,Soria,Almazul
12010,Almedíjar,Castellón,Almedíjar
13014,Almedina,Ciudad Real,Almedina
14004,Almedinilla,Córdoba,Almedinilla
18016,Almegíjar,Granada,Almegíjar
49008,Almeida de Sayago,Zamora,Almeida de Sayago
25021,Almenar,Lleida,Almenar
42022,Almenar de Soria,Soria,Almenar de Soria
12011,Almenara,Castellón,Almenara
47008,Almenara de Adaja,Valladolid,Almenara de Adaja
