municipio,provincia,municipio_nombre_humano,codigo_ine,linea_costa_provincia,linea_montana_provincia
Aldeanueva de la Vera,Cáceres,Aldeanueva de la Vera,10014,0,3
Aldeanueva de San Bartolomé,Toledo,Aldeanueva de San Bartolomé,45010,0,2
Aldeanueva de Santa Cruz,Ávila,Aldeanueva de Santa Cruz,05007,0,1
Aldeanueva del Camino,Cáceres,Aldeanueva del Camino,10015,0,3
Aldeanueva del Codonal,Segovia,Aldeanueva del Codonal,40010,3,1
Aldeaquemada,Jaén,Aldeaquemada,23004,2,2
Aldearrodrigo,Salamanca,Aldearrodrigo,37019,0,2
Aldearrubia,Salamanca,Aldearrubia,37020,0,2
Aldeaseca,Ávila,Aldeaseca,05008,0,1
Aldeaseca de Alba,Salamanca,Aldeaseca de Alba,37021,0,2
Aldeaseca de la Frontera,Salamanca,Aldeaseca de la Frontera,37022,0,2
Aldeasoña,Segovia,Aldeasoña,40013,3,1
Aldeatejada,Salamanca,Aldeatejada,37023,0,2
Aldeavieja de Tormes,Salamanca,Aldeavieja de Tormes,37024,0,2
Aldehorno,Segovia,Aldehorno,40014,3,1
Aldehuela (La),Ávila,La Aldehuela,05010,0,1
Aldehuela de Jerte,Cáceres,Aldehuela de Jerte,10016,0,3
Aldehuela de la Bóveda,Salamanca,Aldehuela de la Bóveda,37025,0,2
Aldehuela de Liestos,Zaragoza,Aldehuela de Liestos,50016,2,1
Aldehuela de Periáñez,Soria,Aldehuela de Periáñez,42013,3,1
Aldehuela de Yeltes,Salamanca,Aldehuela de Yeltes,37026,0,2
Aldehuela del Codonal,Segovia,Aldehuela del Codonal,40015,3,1
Aldehuelas (Las),Soria,Las Aldehuelas,42014,3,1
Aldeire,Granada,Aldeire,18010,1,1
Aldeonte,Segovia,Aldeonte,40016,3,1
Aldover,Tarragona,Aldover,43006,1,2
Aledo,Murcia,Aledo,30006,1,2
Alegia,Gipuzkoa,Alegia,20005,1,2
Alegría-Dulantzi,Álava,Alegría-Dulantzi,01001,2,2
Aleixar (L'),Tarragona,L' Aleixar,43007,1,2
Alella,Barcelona,Alella,08003,1,2
Alentisque,Soria,Alentisque,42015,3,1
Alerre,Huesca,Alerre,22019,2,1
Alesanco,La Rioja,Alesanco,26009,2,2
Alesón,La Rioja,Alesón,26010,2,2
Alfacar,Granada,Alfacar,18011,1,1
Alfafar,Valencia,Alfafar,46022,1,0
Alfafara,Alicante,Alfafara,03010,1,3
Alfajarín,Zaragoza,Alfajarín,50017,2,1
Alfambra,Teruel,Alfambra,44016,2,1
Alfamén,Zaragoza,Alfamén,50018,2,1
Alfántega,Huesca,Alfántega,22020,2,1
Alfara de Carles,Tarragona,Alfara de Carles,43008,1,2
Alfara de la Baronia,Valencia,Alfara de la Baronia,46024,1,0
Alfara del Patriarca,Valencia,Alfara del Patriarca,46025,1,0
Alfaraz de Sayago,Zamora,Alfaraz de Sayago,49005,3,2
Alfarnate,Málaga,Alfarnate,29003,1,2
Alfarnatejo,Málaga,Alfarnatejo,29004,1,2
Alfaro,La Rioja,Alfaro,26011,2,2
Alfarp,Valencia,Alfarp,46026,1,0
Alfarràs,Lleida,Alfarràs,25013,2,1
Alfarrasí,Valencia,Alfarrasí,46027,1,0
Alfàs del Pi (L'),Alicante,L' Alfàs del Pi,03011,1,3
Alfauir,Valencia,Alfauir,46023,1,0
Alfés,Lleida,Alfés,25014,2,1
Alfondeguilla,Castellón,Alfondeguilla,12007,1,2
Alforja,Tarragona,Alforja,43009,1,2
Alforque,Zaragoza,Alforque,50019,2,1
Alfoz,Lugo,Alfoz,27002,1,2
Alfoz de Bricia,Burgos,Alfoz de Bricia,09011,2,2
Alfoz de Lloredo,Cantabria,Alfoz de Lloredo,39001,1,1
Alfoz de Quintanadueñas,Burgos,Alfoz de Quintanadueñas,09907,2,2
Alfoz de Santa Gadea,Burgos,Alfoz de Santa Gadea,09012,2,2
Algaba (La),Sevilla,La Algaba,41007,2,0
Algadefe,León,Algadefe,24002,2,1
Algaida,Illes Balears,Algaida,07004,1,2
Algámitas,Sevilla,Algámitas,41008,2,0
Algar,Cádiz,Algar,11003,1,0
Algar de Mesa,Guadalajara,Algar de Mesa,19016,0,1
Algar de Palancia,Valencia,Algar de Palancia,46028,1,0
Algarinejo,Granada,Algarinejo,18012,1,1
Algarra,Cuenca,Algarra,16013,2,2
Algarrobo,Málaga,Algarrobo,29005,1,2
Algatocín,Málaga,Algatocín,29006,1,2
Algeciras,Cádiz,Algeciras,11004,1,0
Algemesí,Valencia,Algemesí,46029,1,0
Algerri,Lleida,Algerri,25015,2,1
Algete,Madrid,Algete,28009,3,2
Algímia d'Alfara,Valencia,Algímia d'Alfara,46030,1,0
Algimia de Almonacid,Castellón,Algimia de Almonacid,12008,1,2
Alginet,Valencia,Alginet,46031,1,0
Algodonales,Cádiz,Algodonales,11005,1,0
Algodre,Zamora,Algodre,49006,3,2
Algora,Guadalajara,Algora,19017,0,1
Algorfa,Alicante,Algorfa,03012,1,3
Alguaire,Lleida,Alguaire,25016,2,1
Alguazas,Murcia,Alguazas,30007,1,2
Algueña,Alicante,Algueña,03013,1,3
