municipio,provincia,municipio_nombre_humano,lat,lon
Pulpí,Almería,Pulpí,37.41134,-1.746038
Purchena,Almería,Purchena,37.34761,-2.361655
Rágol,Almería,Rágol,36.99523,-2.68178
Rioja,Almería,Rioja,36.943298,-2.462973
Roquetas de Mar,Almería,Roquetas de Mar,36.766784,-2.610328
Santa Cruz de Marchena,Almería,Santa Cruz de Marchena,37.01736,-2.60337
Santa Fe de Mondújar,Almería,Santa Fe de Mondújar,36.97479,-2.53126
Senés,Almería,Senés,37.20367,-2.34631
Serón,Almería,Serón,37.343094,-2.510717
Sierro,Almería,Sierro,37.32237,-2.39844
Somontín,Almería,Somontín,37.39176,-2.38828
Sorbas,Almería,Sorbas,37.098392,-2.123837
Suflí,Almería,Suflí,37.33866,-2.38817
Tabernas,Almería,Tabernas,37.052305,-2.392007
Taberno,Almería,Taberno,37.4688,-2.07736
Tahal,Almería,Tahal,37.22797,-2.2847
Terque,Almería,Terque,36.98393,-2.59679
Tíjola,Almería,Tíjola,37.34643,-2.433715
Tres Villas (Las),Almería,Las Tres Villas,37.158261,-2.715906
Turre,Almería,Turre,37.152363,-1.894506
Turrillas,Almería,Turrillas,37.02948,-2.26607
Uleila del Campo,Almería,Uleila del Campo,37.1846,-2.20491
Urrácal,Almería,Urrácal,37.3974,-2.36485
Velefique,Almería,Velefique,37.19407,-2.40155
Vélez-Blanco,Almería,Vélez-Blanco,37.692512,-2.095392
Vélez-Rubio,Almería,Vélez-Rubio,37.647982,-2.075089
Vera,Almería,Vera,37.246352,-1.868843
Viator,Almería,Viator,36.882156,-2.417627
Vícar,Almería,Vícar,36.80006,-2.647875
Zurgena,Almería,Zurgena,37.34218,-2.03985
Adanero,Ávila,Adanero,40.94487,-4.60561
Adrada (La),Ávila,La Adrada,40.30084,-4.635961
Albornos,Ávila,Albornos,40.83795,-4.88129
Aldeanueva de Santa Cruz,Ávila,Aldeanueva de Santa Cruz,40.38189,-5.42142
Aldeaseca,Ávila,Aldeaseca,41.04912,-4.81707
Aldehuela (La),Ávila,La Aldehuela,40.41092,-5.40983
Amavida,Ávila,Amavida,40.57371,-5.06541
Arenal (El),Ávila,El Arenal,40.265205,-5.086847
Arenas de San Pedro,Ávila,Arenas de San Pedro,40.211957,-5.085076
Arevalillo,Ávila,Arevalillo,40.588392,-5.371343
Arévalo,Ávila,Arévalo,41.062326,-4.720047
Aveinte,Ávila,Aveinte,40.78227,-4.83649
Avellaneda,Ávila,Avellaneda,40.38909,-5.38811
Ávila,Ávila,Ávila,40.646709,-4.701896
Barco de Ávila (El),Ávila,El Barco de Ávila,40.357166,-5.521441
Barraco (El),Ávila,El Barraco,40.477362,-4.645228
Barromán,Ávila,Barromán,41.06536,-4.93066
Becedas,Ávila,Becedas,40.40369,-5.63577
Becedillas,Ávila,Becedillas,40.53821,-5.32561
Bercial de Zapardiel,Ávila,Bercial de Zapardiel,41.04675,-4.9691
Berlanas (Las),Ávila,Las Berlanas,40.800813,-4.76019
Bernuy-Zapardiel,Ávila,Bernuy-Zapardiel,40.9757,-4.94468
Berrocalejo de Aragona,Ávila,Berrocalejo de Aragona,40.69436,-4.59474
Blascomillán,Ávila,Blascomillán,40.80146,-5.08703
Blasconuño de Matacabras,Ávila,Blasconuño de Matacabras,41.12368,-4.98983
Blascosancho,Ávila,Blascosancho,40.87744,-4.63743
Bohodón (El),Ávila,El Bohodón,40.91612,-4.73
Bohoyo,Ávila,Bohoyo,40.31584,-5.44294
Bonilla de la Sierra,Ávila,Bonilla de la Sierra,40.53063,-5.26452
Brabos,Ávila,Brabos,40.77846,-4.93934
Bularros,Ávila,Bularros,40.72808,-4.82914
Burgohondo,Ávila,Burgohondo,40.414016,-4.785867
Cabezas de Alambre,Ávila,Cabezas de Alambre,40.94218,-4.84184
Cabezas del Pozo,Ávila,Cabezas del Pozo,41.00139,-4.95454
Cabezas del Villar,Ávila,Cabezas del Villar,40.715103,-5.210077
Cabizuela,Ávila,Cabizuela,40.9009,-4.80212
Canales,Ávila,Canales,40.667503,-4.663682
Candeleda,Ávila,Candeleda,40.154493,-5.241504
Cantiveros,Ávila,Cantiveros,40.95216,-4.95455
Cardeñosa,Ávila,Cardeñosa,40.7424,-4.74579
