municipio,provincia,codigo_ine,municipio_nombre_humano,renta_bruta_media
Almoguera,Guadalajara,19021,Almoguera,20022
Almohaja,Teruel,44018,Almohaja,-
Almoharín,Cáceres,10020,Almoharín,14926
Almoines,Valencia,46034,Almoines,21116
Almolda (La),Zaragoza,50022,La Almolda,-
Almonacid de la Cuba,Zaragoza,50023,Almonacid de la Cuba,-
Almonacid de la Sierra,Zaragoza,50024,Almonacid de la Sierra,-
Almonacid de Toledo,Toledo,45012,Almonacid de Toledo,-
Almonacid de Zorita,Guadalajara,19022,Almonacid de Zorita,-
Almonacid del Marquesado,Cuenca,16018,Almonacid del Marquesado,-
Almonaster la Real,Huelva,21004,Almonaster la Real,20938
Almonte,Huelva,21005,Almonte,15285
Almoradí,Alicante,3015,Almoradí,19854
Almorox,Toledo,45013,Almorox,18236
Almoster,Tarragona,43011,Almoster,39471
Almudaina,Alicante,3016,Almudaina,-
Almudévar,Huesca,22021,Almudévar,24358
Almunia de Doña Godina (La),Zaragoza,50025,La Almunia de Doña Godina,20784
Almunia de San Juan,Huesca,22022,Almunia de San Juan,-
Almuniente,Huesca,22023,Almuniente,-
Almuñécar,Granada,18017,Almuñécar,20748
Almuradiel,Ciudad Real,13016,Almuradiel,-
Almussafes,Valencia,46035,Almussafes,26787
Alobras,Teruel,44019,Alobras,-
Alocén,Guadalajara,19023,Alocén,-
Alonsotegi,Bizkaia,48912,Alonsotegi,36423
Álora,Málaga,29012,Álora,17740
Alòs de Balaguer,Lleida,25022,Alòs de Balaguer,-
