municipio,provincia,municipio_nombre_humano,lat,lon,top_3_sitios,sitio_mas_frecuente
Orihuela,Alicante,Orihuela,38.082111,-0.946934,commercial;catering;building,commercial
Orxeta,Alicante,Orxeta,38.56397,-0.26299,catering;natural;sport,catering
Parcent,Alicante,Parcent,38.7457,-0.064354,building;access_limited;catering,building
Pedreguer,Alicante,Pedreguer,38.793927,0.035132,commercial;catering;service,commercial
Pego,Alicante,Pego,38.841697,-0.115876,service;sport;catering,service
Penàguila,Alicante,Penàguila,38.68,-0.35845,access_limited;natural;leisure,access_limited
Petrer,Alicante,Petrer,38.484322,-0.779674,leisure;commercial;catering,leisure
Pilar de la Horadada,Alicante,Pilar de la Horadada,37.862662,-0.788448,leisure;catering;commercial,leisure
Pinós (El)/Pinoso,Alicante,El Pinós/Pinoso,38.400231,-1.043137,leisure;commercial;sport,leisure
Planes,Alicante,Planes,38.788175,-0.327363,natural;sport;leisure,natural
Poblets (Els),Alicante,Els Poblets,38.85381,0.02103,sport;access_limited;access,sport
Polop,Alicante,Polop,38.620263,-0.133733,catering;commercial;leisure,catering
Quatretondeta,Alicante,Quatretondeta,38.72415,-0.31669,natural;leisure;sport,natural
Rafal,Alicante,Rafal,38.103409,-0.848648,leisure;catering;commercial,leisure
Ràfol d'Almúnia (El),Alicante,El Ràfol d'Almúnia,38.8212,-0.05171,sport;access;leisure,sport
Redován,Alicante,Redován,38.113556,-0.906116,commercial;service;catering,commercial
Relleu,Alicante,Relleu,38.588602,-0.310327,sport;catering;commercial,sport
Rojales,Alicante,Rojales,38.084971,-0.711904,catering;natural;sport,catering
Romana (La),Alicante,La Romana,38.36667,-0.9,sport;leisure;catering,sport
Sagra,Alicante,Sagra,38.817249,-0.068787,sport;natural;access_limited,sport
Salinas,Alicante,Salinas,38.520186,-0.911996,natural;leisure;sport,natural
San Fulgencio,Alicante,San Fulgencio,38.11362,-0.717969,leisure;commercial;catering,leisure
San Isidro,Alicante,San Isidro,38.172481,-0.839029,sport;leisure;catering,sport
San Miguel de Salinas,Alicante,San Miguel de Salinas,37.97764,-0.789116,catering;commercial;service,catering
