municipio,provincia,municipio_nombre_humano,codigo_INE,lat,lon
Valdelarco,Huelva,Valdelarco,21071,37.94877,-6.68202
Valdelcubo,Guadalajara,Valdelcubo,19303,41.22637,-2.67588
Valdelinares,Teruel,Valdelinares,44244,40.39114,-0.60593
Valdelosa,Salamanca,Valdelosa,37335,41.17157,-5.7839
Valdeltormo,Teruel,Valdeltormo,44245,40.98716,0.08342
Valdelugueros,León,Valdelugueros,24177,42.98376,-5.41521
Valdemadera,La Rioja,Valdemadera,26161,41.98408,-2.07403
Valdemaluque,Soria,Valdemaluque,42194,41.67376,-3.04643
Valdemanco,Madrid,Valdemanco,28158,40.865914,-3.673443
Valdemanco del Esteras,Ciudad Real,Valdemanco del Esteras,13086,38.93858,-4.8292
Valdemaqueda,Madrid,Valdemaqueda,28159,40.51014,-4.297767
Valdemeca,Cuenca,Valdemeca,16224,40.22367,-1.74358
Valdemierque,Salamanca,Valdemierque,37336,40.82176,-5.58224
Valdemora,León,Valdemora,24178,42.19541,-5.42747
Valdemorales,Cáceres,Valdemorales,10201,39.20588,-6.06622
Valdemorillo,Madrid,Valdemorillo,28160,40.500092,-4.06661
Valdemorillo de la Sierra,Cuenca,Valdemorillo de la Sierra,16225,40.03333,-1.78333
Valdemoro,Madrid,Valdemoro,28161,40.191304,-3.680276
Valdemoro-Sierra,Cuenca,Valdemoro-Sierra,16227,40.1,-1.76667
Valdenebro,Soria,Valdenebro,42195,41.57166,-2.96424
Valdenebro de los Valles,Valladolid,Valdenebro de los Valles,47181,41.8569,-4.97005
Valdenuño Fernández,Guadalajara,Valdenuño Fernández,19304,40.775632,-3.369177
Valdeobispo,Cáceres,Valdeobispo,10202,40.083129,-6.247516
Valdeolea,Cantabria,Valdeolea,39092,42.87486,-4.16276
Valdeolivas,Cuenca,Valdeolivas,16228,40.506,-2.44532
Valdeolmillos,Palencia,Valdeolmillos,34189,42.04123,-4.40015
Valdeolmos-Alalpardo,Madrid,Valdeolmos-Alalpardo,28162,40.629792,-3.475497
Valdepeñas,Ciudad Real,Valdepeñas,13087,38.764911,-3.386248
Valdepeñas de Jaén,Jaén,Valdepeñas de Jaén,23093,37.590319,-3.817701
Valdepeñas de la Sierra,Guadalajara,Valdepeñas de la Sierra,19305,40.90562,-3.38414
Valdepiélago,León,Valdepiélago,24179,42.86896,-5.39763
Valdepiélagos,Madrid,Valdepiélagos,28163,40.75842,-3.46164
